,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hasaki,75,JP,2019-03-22 00:16:38,88,35.73,140.83,63.0,9.17
1,Barrow,44,AR,2019-03-22 00:28:25,78,-38.31,-60.23,54.23,8.32
2,Arraial do Cabo,90,BR,2019-03-21 23:00:00,94,-22.97,-42.02,71.6,16.26
3,Bulawayo,0,ZW,2019-03-22 00:28:25,89,-20.16,28.59,60.62,4.97
4,Hithadhoo,76,MV,2019-03-22 00:28:25,100,-0.6,73.08,84.56,5.75
5,Jasper,0,US,2019-03-22 00:28:01,47,33.83,-87.28,63.0,8.99
6,Kapaa,75,US,2019-03-22 00:23:22,57,22.08,-159.32,80.6,11.41
7,Rikitea,0,PF,2019-03-22 00:28:26,98,-23.12,-134.97,79.34,19.06
8,Okhotsk,68,RU,2019-03-22 00:28:26,82,59.36,143.24,13.01,4.74
9,Lodja,48,CD,2019-03-22 00:28:27,88,-3.52,23.6,75.02,2.39
10,Punta Arenas,75,CL,2019-03-22 00:23:10,71,-53.16,-70.91,53.6,8.05
11,Nanortalik,68,GL,2019-03-22 00:23:37,100,60.14,-45.24,22.01,29.91
12,Ushuaia,75,AR,2019-03-21 23:00:00,93,-54.81,-68.31,46.4,16.11
13,Chokurdakh,12,RU,2019-03-22 00:28:27,47,70.62,147.9,-16.15,4.52
14,Ribeira Grande,36,PT,2019-03-22 00:28:28,98,38.52,-28.7,60.89,10.11
15,Bethanien,0,NA,2019-03-22 00:28:28,39,-26.5,17.16,61.07,4.74
16,Jamestown,44,AU,2019-03-22 00:28:28,82,-33.21,138.6,70.34,4.63
17,Bredasdorp,100,ZA,2019-03-22 00:01:40,88,-34.53,20.04,63.0,1.12
18,Avarua,0,CK,2019-03-22 00:00:00,79,-21.21,-159.78,86.0,9.17
19,Hosanagara,0,IN,2019-03-22 00:28:29,94,13.92,75.07,64.58,1.39
20,Tual,0,ID,2019-03-22 00:28:29,95,-5.67,132.75,84.92,13.69
21,Maningrida,56,AU,2019-03-22 00:28:30,94,-12.05,134.23,83.12,4.29
22,Kodiak,1,US,2019-03-22 00:28:23,18,39.95,-94.76,54.0,5.82
23,Castro,90,CL,2019-03-21 23:00:00,100,-42.48,-73.76,55.4,8.05
24,Lucea,75,JM,2019-03-22 00:15:56,78,18.44,-78.17,80.01,6.93
25,Pangkalanbuun,64,ID,2019-03-22 00:28:31,97,-2.68,111.62,75.2,4.18
26,Trat,32,TH,2019-03-22 00:27:18,61,12.25,102.51,88.0,6.42
27,Babushkin,12,RU,2019-03-22 00:28:31,86,51.72,105.86,15.89,3.96
28,Sorong,36,ID,2019-03-22 00:28:31,100,-0.86,131.25,80.87,6.64
29,Alofi,90,NU,2019-03-22 00:00:00,83,-19.06,-169.92,80.6,8.05
30,Bakchar,36,RU,2019-03-22 00:28:32,86,57.02,82.07,22.37,7.43
31,Torbay,5,CA,2019-03-22 00:28:22,63,47.66,-52.73,30.99,14.99
32,Port Hardy,75,CA,2019-03-22 00:00:00,48,50.7,-127.42,60.8,3.36
33,Tasiilaq,92,GL,2019-03-21 23:50:00,78,65.61,-37.64,15.8,41.38
34,Busselton,36,AU,2019-03-22 00:25:15,50,-33.64,115.35,72.0,18.84
35,Albany,90,US,2019-03-22 00:28:28,80,42.65,-73.75,41.0,4.7
36,Nikolskoye,90,RU,2019-03-22 00:27:16,93,59.7,30.79,37.4,15.66
37,Atherton,90,GB,2019-03-22 00:28:27,87,53.52,-2.49,53.01,3.36
38,Yellowknife,20,CA,2019-03-22 00:22:48,65,62.45,-114.38,41.0,17.22
39,Bathsheba,75,BB,2019-03-21 23:00:00,83,13.22,-59.52,77.0,9.17
40,Springbok,0,ZA,2019-03-22 00:28:34,57,-29.67,17.88,55.67,6.76
41,Caravelas,64,BR,2019-03-22 00:28:34,100,-17.73,-39.27,81.86,20.07
42,Mar del Plata,8,AR,2019-03-22 00:25:51,52,-46.43,-67.52,57.2,6.98
43,Bluff,0,AU,2019-03-22 00:28:35,68,-23.58,149.07,83.3,5.64
44,Dingle,0,PH,2019-03-22 00:28:35,65,11.0,122.67,80.06,11.01
45,Horta,0,ES,2019-03-22 00:28:04,80,41.43,2.16,54.0,4.7
46,Gambo,12,NG,2019-03-22 00:28:36,46,11.96,9.63,81.86,6.76
47,Gorontalo,20,ID,2019-03-22 00:28:36,88,0.54,123.06,77.72,2.51
48,Matara,64,PE,2019-03-22 00:28:36,88,-13.74,-72.9,46.58,1.95
49,Kavieng,32,PG,2019-03-22 00:28:36,97,-2.57,150.8,85.01,5.41
50,Saint Petersburg,90,RU,2019-03-22 00:27:16,93,59.94,30.32,37.4,15.66
51,Hermanus,56,ZA,2019-03-22 00:17:25,91,-34.42,19.24,66.0,4.74
52,Karachi,0,PK,2019-03-22 00:00:00,72,24.87,67.03,68.0,10.11
53,Saskylakh,64,RU,2019-03-22 00:28:37,78,71.97,114.09,8.33,1.16
54,Khabarovsk,0,RU,2019-03-21 23:30:00,44,48.48,135.08,17.6,15.66
55,Mecca,0,SA,2019-03-22 00:28:38,88,21.43,39.83,61.61,2.62
56,Nyurba,44,RU,2019-03-22 00:28:38,80,63.29,118.35,3.74,6.98
57,San Patricio,0,PY,2019-03-22 00:28:38,63,-26.98,-56.83,67.37,5.75
58,Airai,0,TL,2019-03-22 00:28:38,73,-8.93,125.41,77.72,1.83
59,Ladario,0,PT,2019-03-22 00:28:32,81,40.7,-7.74,51.01,1.95
60,Visnes,0,NO,2019-03-22 00:28:07,98,59.36,5.22,39.0,10.29
61,Ilulissat,36,GL,2019-03-21 23:50:00,63,69.22,-51.1,-9.41,14.99
62,Bambous Virieux,75,MU,2019-03-22 00:24:01,74,-20.34,57.76,82.4,4.7
63,Gat,75,SN,2019-03-22 00:00:00,88,14.69,-16.54,68.0,10.29
64,Marjamaa,0,EE,2019-03-22 00:25:03,69,58.9,24.43,39.0,13.87
65,Lorengau,48,PG,2019-03-22 00:28:40,98,-2.02,147.27,83.21,6.2
66,Grand Gaube,75,MU,2019-03-22 00:24:01,74,-20.01,57.66,82.4,4.7
67,Kloulklubed,75,PW,2019-03-21 23:50:00,74,7.04,134.26,82.4,9.17
68,Geraldton,90,CA,2019-03-22 00:00:00,59,49.72,-86.95,33.8,10.29
69,Mataura,24,NZ,2019-03-22 00:28:41,67,-46.19,168.86,71.24,4.29
70,Luderitz,0,NA,2019-03-22 00:28:41,82,-26.65,15.16,59.99,15.93
71,Atuona,0,PF,2019-03-22 00:28:42,100,-9.8,-139.03,81.86,15.48
72,Husavik,0,CA,2019-03-22 00:25:51,56,50.56,-96.99,42.01,5.01
73,Vaini,0,IN,2019-03-22 00:28:42,85,15.34,74.49,60.08,1.39
74,Mahebourg,75,MU,2019-03-22 00:24:01,74,-20.41,57.7,82.4,4.7
75,Acari,24,BR,2019-03-22 00:28:43,97,-6.44,-36.64,68.36,2.39
76,East London,0,ZA,2019-03-22 00:28:43,100,-33.02,27.91,68.36,11.68
77,Port Augusta,12,AU,2019-03-22 00:26:32,83,-32.49,137.76,84.0,11.41
78,Naze,75,NG,2019-03-22 00:00:00,88,5.43,7.07,78.8,2.24
79,Ponta Delgada,75,PT,2019-03-22 00:27:27,82,37.73,-25.67,57.2,2.24
80,Atambua,0,ID,2019-03-22 00:28:44,94,-9.11,124.89,83.3,6.76
81,Mount Isa,0,AU,2019-03-21 23:30:00,45,-20.73,139.49,87.8,12.75
82,Robertsport,48,LR,2019-03-22 00:28:44,100,6.75,-11.37,81.77,8.43
83,Hami,8,CN,2019-03-22 00:28:45,66,42.84,93.51,23.72,3.4
84,San Luis,0,AR,2019-03-22 00:28:46,39,-33.3,-66.34,68.0,11.56
85,Saint-Georges,92,CA,2019-03-22 00:17:42,64,46.12,-70.67,42.01,6.76
86,Comodoro Rivadavia,0,AR,2019-03-21 23:00:00,55,-45.87,-67.48,60.8,5.75
87,Cockburn Town,0,TC,2019-03-22 00:28:46,93,21.46,-71.14,80.96,4.97
88,Fort Nelson,75,CA,2019-03-22 00:00:00,32,58.81,-122.69,53.6,2.24
89,Aguadilla,75,PR,2019-03-22 00:25:39,65,18.43,-67.15,80.01,3.36
90,Butembo,8,CD,2019-03-22 00:28:47,90,0.12,29.29,57.83,1.39
91,Cidreira,0,BR,2019-03-22 00:28:47,83,-30.17,-50.22,62.24,6.31
92,Tautira,75,PF,2019-03-22 00:23:06,74,-17.73,-149.15,84.2,11.41
93,Porangatu,64,BR,2019-03-22 00:28:48,96,-13.44,-49.14,73.49,2.84
94,Talnakh,80,RU,2019-03-22 00:28:48,94,69.49,88.39,20.75,3.51
95,Verkhnyaya Inta,88,RU,2019-03-22 00:28:48,84,65.99,60.32,27.5,5.86
96,Upernavik,32,GL,2019-03-22 00:28:48,100,72.79,-56.15,-14.17,1.61
97,Tessalit,0,ML,2019-03-22 00:28:49,22,20.2,1.01,56.48,3.74
98,Roald,32,NO,2019-03-22 00:25:03,52,62.58,6.12,44.6,14.99
99,Yatou,75,CM,2019-03-22 00:00:00,100,3.63,9.81,80.6,1.12
100,Zhigansk,36,RU,2019-03-22 00:28:49,75,66.77,123.37,-3.28,11.79
101,Norman Wells,75,CA,2019-03-22 00:00:00,64,65.28,-126.83,35.6,12.75
102,Hilo,90,US,2019-03-22 00:28:32,73,19.71,-155.08,77.0,15.26
103,Butaritari,76,KI,2019-03-22 00:28:50,100,3.07,172.79,81.86,8.99
104,Yar-Sale,44,RU,2019-03-22 00:28:50,82,66.83,70.83,18.86,11.34
105,Port Elizabeth,90,US,2019-03-22 00:28:29,93,39.31,-74.98,51.8,24.16
106,Cape Town,0,ZA,2019-03-22 00:26:05,68,-33.93,18.42,66.2,24.16
107,Baker City,20,US,2019-03-22 00:17:14,27,44.77,-117.83,62.6,8.05
108,Hamilton,90,CA,2019-03-22 00:28:42,93,43.26,-79.87,44.01,8.05
109,Thompson,20,CA,2019-03-22 00:00:00,54,55.74,-97.86,30.2,13.87
110,Georgetown,20,GY,2019-03-21 23:00:00,78,6.8,-58.16,80.6,11.41
111,Zomin,20,UZ,2019-03-22 00:28:53,79,39.96,68.4,41.99,2.73
112,Longyearbyen,20,NO,2019-03-21 23:50:00,85,78.22,15.63,19.4,8.05
113,Taksimo,24,RU,2019-03-22 00:28:53,55,56.36,114.84,9.59,3.4
114,Concarneau,0,FR,2019-03-22 00:28:34,87,47.88,-3.92,48.2,4.7
115,Jinchang,0,CN,2019-03-22 00:28:54,47,38.52,102.19,10.76,2.95
116,Tiznit,0,MA,2019-03-22 00:28:54,93,29.7,-9.73,55.58,4.63
117,Flin Flon,20,CA,2019-03-21 23:00:00,36,54.77,-101.88,46.4,5.82
118,New Norfolk,75,AU,2019-03-22 00:28:16,82,-42.78,147.06,63.0,3.36
119,Hobart,75,AU,2019-03-22 00:28:16,82,-42.88,147.33,63.0,3.36
120,Provideniya,75,RU,2019-03-21 23:30:00,50,64.42,-173.23,8.6,17.9
121,Canby,90,US,2019-03-22 00:24:40,71,45.26,-122.69,57.99,4.7
122,Mogadishu,8,SO,2019-03-22 00:24:03,100,2.04,45.34,81.77,18.84
123,Serra Branca,44,BR,2019-03-22 00:28:56,94,-7.57,-40.23,70.34,1.95
124,Price,75,US,2019-03-22 00:24:04,93,39.6,-110.81,46.99,9.17
125,Saint George,20,GR,2019-03-22 00:23:19,87,39.45,22.34,53.01,4.7
126,Rodrigues Alves,40,BR,2019-03-21 23:00:00,88,-7.74,-72.65,80.6,2.95
127,Banda Aceh,12,ID,2019-03-22 00:24:04,97,5.56,95.32,73.22,1.95
128,Tuktoyaktuk,90,CA,2019-03-22 00:00:00,85,69.44,-133.03,15.8,14.99
129,Quatre Cocos,75,MU,2019-03-22 00:24:01,74,-20.21,57.76,82.4,4.7
130,Vanimo,20,PG,2019-03-22 00:28:57,98,-2.67,141.3,83.03,17.05
131,Ulaanbaatar,20,MN,2019-03-21 23:30:00,78,47.92,106.92,10.4,10.0
132,Ancud,90,CL,2019-03-21 23:00:00,100,-41.87,-73.83,55.4,8.05
133,Fortuna,0,ES,2019-03-22 00:28:43,61,38.18,-1.13,50.0,5.82
134,Ponta do Sol,92,BR,2019-03-22 00:28:58,97,-20.63,-46.0,66.47,7.09
135,Saldanha,0,PT,2019-03-22 00:28:58,86,41.42,-6.55,32.36,3.29
136,Taoudenni,88,ML,2019-03-22 00:24:21,15,22.68,-3.98,68.09,8.1
137,Iskateley,64,RU,2019-03-22 00:28:59,89,67.68,53.15,20.48,5.53
138,Te Anau,0,NZ,2019-03-22 00:28:59,69,-45.41,167.72,68.45,3.51
139,Buraydah,0,SA,2019-03-22 00:28:59,65,26.33,43.97,58.28,7.2
140,Lebu,40,ET,2019-03-22 00:00:00,45,8.96,38.73,64.4,6.93
141,Palora,40,EC,2019-03-21 23:00:00,83,-1.7,-77.97,77.0,2.24
142,Sola,0,NO,2019-03-22 00:28:18,99,58.89,5.65,39.0,6.93
143,Isangel,75,VU,2019-03-21 23:00:00,70,-19.55,169.27,87.8,13.87
144,Coquimbo,20,CL,2019-03-21 23:00:00,82,-29.95,-71.34,57.2,6.93
145,College,75,US,2019-03-22 00:24:05,34,64.86,-147.8,53.01,3.36
146,Srednekolymsk,0,RU,2019-03-22 00:29:01,66,67.46,153.71,-4.27,3.18
147,Itarema,76,BR,2019-03-22 00:29:01,96,-2.92,-39.92,77.72,4.18
148,Khatanga,48,RU,2019-03-22 00:29:01,74,71.98,102.47,-0.13,10.22
149,Paramonga,8,PE,2019-03-22 00:29:01,98,-10.68,-77.82,69.26,8.99
150,Rawson,44,AR,2019-03-22 00:29:02,34,-43.3,-65.11,64.04,4.74
151,Aripuana,76,BR,2019-03-22 00:29:02,97,-9.17,-60.63,75.38,2.06
152,Don Sak,20,TH,2019-03-22 00:21:03,88,9.32,99.69,80.6,5.19
153,Saint-Philippe,90,CA,2019-03-22 00:28:48,75,45.36,-73.48,42.8,16.11
154,Yulara,0,AU,2019-03-21 23:00:00,23,-25.24,130.99,82.4,6.93
155,Avera,40,US,2019-03-22 00:28:12,44,33.19,-82.53,62.6,13.87
156,Qaanaaq,20,GL,2019-03-22 00:29:03,89,77.48,-69.36,-21.55,7.43
157,Meulaboh,24,ID,2019-03-22 00:29:03,100,4.14,96.13,77.99,4.18
158,Trincomalee,8,LK,2019-03-22 00:29:03,92,8.58,81.23,73.67,2.73
159,Moussoro,8,TD,2019-03-22 00:29:04,53,13.64,16.49,72.59,2.73
160,Salalah,0,OM,2019-03-21 23:50:00,73,17.01,54.1,75.2,1.12
161,Linxia,76,CN,2019-03-22 00:29:04,88,35.6,103.21,22.91,2.95
162,Yumen,8,CN,2019-03-22 00:29:04,61,40.29,97.04,17.51,3.62
163,Ahipara,64,NZ,2019-03-22 00:29:05,71,-35.17,173.16,74.39,8.43
164,Fairbanks,75,US,2019-03-22 00:24:05,34,64.84,-147.72,53.01,3.36
165,Verkhoyansk,0,RU,2019-03-22 00:29:05,48,67.55,133.39,-17.14,2.62
166,Touros,0,BR,2019-03-21 23:00:00,88,-5.2,-35.46,80.6,2.24
167,Chernyanka,80,RU,2019-03-22 00:29:06,90,50.94,37.8,29.48,7.2
168,Necochea,56,AR,2019-03-22 00:26:52,74,-38.55,-58.74,55.0,3.0
169,Kruisfontein,0,ZA,2019-03-22 00:29:06,86,-34.0,24.73,59.9,8.21
170,Margate,75,AU,2019-03-22 00:28:16,82,-43.03,147.26,63.0,3.36
171,Kaitangata,76,NZ,2019-03-22 00:29:07,83,-46.28,169.85,68.99,4.07
172,Port Alfred,12,ZA,2019-03-22 00:26:28,90,-33.59,26.89,64.0,3.0
173,Mao,40,DO,2019-03-22 00:25:33,74,19.55,-71.08,80.6,11.41
174,Puerto Ayora,20,EC,2019-03-22 00:15:39,78,-0.74,-90.35,82.4,12.75
175,Marmande,0,FR,2019-03-22 00:28:54,70,44.5,0.16,44.01,3.36
176,Aswan,0,EG,2019-03-21 23:00:00,15,24.09,32.9,73.4,4.7
177,Ust-Tsilma,88,RU,2019-03-22 00:29:08,94,65.44,52.15,26.69,3.51
178,Leningradskiy,12,RU,2019-03-22 00:29:08,100,69.38,178.42,-10.21,4.07
179,Vardo,90,US,2019-03-22 00:27:57,86,39.62,-77.74,44.01,11.41
180,Alice Springs,0,AU,2019-03-21 23:30:00,21,-23.7,133.88,84.2,8.05
181,General Pico,36,AR,2019-03-22 00:29:09,61,-35.66,-63.75,60.8,12.57
182,La Sarre,92,CA,2019-03-22 00:29:09,93,48.8,-79.2,37.04,8.66
183,Eston,5,CA,2019-03-22 00:19:03,76,51.15,-108.75,50.0,9.17
184,Haines Junction,0,CA,2019-03-22 00:29:10,52,60.75,-137.51,44.42,3.18
185,Port Hawkesbury,75,CA,2019-03-22 00:26:01,86,45.62,-61.36,34.0,4.7
186,Pisco,0,PE,2019-03-21 23:00:00,30,-13.71,-76.2,71.6,21.92
187,Aksarka,76,RU,2019-03-22 00:29:10,84,66.56,67.8,21.92,10.45
188,Voloshka,68,RU,2019-03-22 00:29:11,93,61.33,40.09,27.5,8.32
189,Carnarvon,0,ZA,2019-03-22 00:29:11,61,-30.97,22.13,53.51,10.0
190,Xinxiang,76,CN,2019-03-22 00:29:11,54,35.3,113.88,39.92,3.18
191,Port Hedland,40,AU,2019-03-21 23:30:00,74,-20.31,118.58,86.0,20.8
192,Houston,1,US,2019-03-22 00:24:16,22,29.76,-95.37,75.99,4.7
193,Cherskiy,0,RU,2019-03-22 00:29:12,62,68.75,161.3,-7.51,2.62
194,Okato,8,NZ,2019-03-22 00:29:12,92,-39.19,173.88,68.9,7.43
195,Guerrero Negro,68,MX,2019-03-22 00:29:12,58,27.97,-114.04,64.67,17.27
196,Lompoc,75,US,2019-03-22 00:26:59,76,34.64,-120.46,60.01,9.17
197,Aurora,1,US,2019-03-22 00:16:03,65,41.76,-88.32,46.0,9.17
198,Bethel,75,US,2019-03-21 23:56:00,65,60.79,-161.76,44.6,12.75
199,Yaroslavskiy,32,RU,2019-03-22 00:29:14,77,44.19,132.23,23.9,10.45
200,Gizo,40,IL,2019-03-22 00:28:55,87,31.8,34.94,59.0,2.24
201,Roblin,0,CA,2019-03-22 00:29:14,91,51.23,-101.35,33.89,3.85
202,Souillac,0,FR,2019-03-22 00:27:10,60,45.6,-0.6,45.0,2.95
203,Metro,24,ID,2019-03-22 00:29:15,100,-5.11,105.31,77.18,4.85
204,Deputatskiy,0,RU,2019-03-22 00:29:15,48,69.3,139.9,-17.86,2.73
205,Jalu,88,LY,2019-03-22 00:29:15,43,29.03,21.55,72.59,15.03
206,Karaton,20,ID,2019-03-22 00:28:44,78,-6.34,106.1,84.0,5.82
207,Misratah,92,LY,2019-03-22 00:29:16,100,32.38,15.09,55.04,6.64
208,Pamekasan,36,ID,2019-03-22 00:29:16,100,-7.16,113.47,80.96,9.66
209,Ostrovnoy,8,RU,2019-03-22 00:29:17,82,68.05,39.51,15.44,7.54
210,Havre-Saint-Pierre,90,CA,2019-03-22 00:00:00,86,50.23,-63.6,30.2,6.93
211,Jiangyou,76,CN,2019-03-22 00:29:17,81,31.78,104.73,46.94,3.74
212,Ingham,92,AU,2019-03-22 00:29:17,92,-18.65,146.16,81.77,10.56
213,Lambarene,88,GA,2019-03-22 00:29:18,100,-0.7,10.22,72.86,2.62
214,Praia da Vitoria,40,PT,2019-03-22 00:16:09,87,38.73,-27.07,59.0,7.76
215,Saint Anthony,1,US,2019-03-22 00:25:44,24,43.97,-111.68,57.2,9.17
216,Saint-Augustin,0,FR,2019-03-22 00:27:10,86,44.83,-0.61,45.0,1.61
217,Gushikawa,75,JP,2019-03-22 00:23:10,78,26.35,127.87,71.6,14.99
218,Erdenet,8,MN,2019-03-22 00:29:19,67,49.03,104.04,4.73,2.62
219,Severo-Kurilsk,48,RU,2019-03-22 00:29:19,100,50.68,156.12,24.8,10.56
220,Namibe,0,AO,2019-03-22 00:29:19,100,-15.19,12.15,77.63,0.27
221,Marathon,56,CA,2019-03-22 00:29:20,81,48.72,-86.38,33.17,9.89
222,Quirinopolis,20,BR,2019-03-22 00:29:20,92,-18.45,-50.45,73.94,6.08
223,Constitucion,20,MX,2019-03-22 00:20:15,7,23.99,-104.67,77.0,11.41
224,Kaeo,64,NZ,2019-03-22 00:08:04,74,-35.1,173.78,72.0,5.01
225,Lamar,1,US,2019-03-22 00:17:08,18,38.09,-102.62,63.0,12.75
226,Maldonado,20,UY,2019-03-21 23:00:00,71,-34.91,-54.96,55.4,3.36
227,Riyadh,0,SA,2019-03-22 00:00:00,31,24.63,46.72,60.8,5.82
228,Sao Jose da Coroa Grande,12,BR,2019-03-22 00:29:21,97,-8.9,-35.15,76.19,4.74
229,Tongren,92,CN,2019-03-22 00:29:21,94,27.72,109.18,42.62,9.66
230,Cassilandia,100,BR,2019-03-22 00:25:57,92,-19.11,-51.73,71.69,6.98
231,Antalaha,44,MG,2019-03-22 00:29:22,93,-14.9,50.28,77.72,8.66
232,Partizanskoye,48,UA,2019-03-22 00:29:22,84,44.83,34.08,32.54,5.19
233,Sitka,36,US,2019-03-22 00:15:35,39,37.17,-99.65,60.01,3.0
234,Faanui,80,PF,2019-03-22 00:29:22,100,-16.48,-151.75,84.65,8.43
235,Krasnogvardeyskoye,68,RU,2019-03-22 00:29:23,93,45.84,41.51,42.62,7.99
236,Komsomolskiy,80,RU,2019-03-22 00:29:23,92,67.55,63.78,26.06,4.63
237,North Bend,1,US,2019-03-22 00:25:32,71,43.41,-124.22,64.0,12.75
238,Codrington,90,AU,2019-03-22 00:25:13,69,-28.95,153.24,84.99,3.4
239,Sao Filipe,12,CV,2019-03-22 00:29:24,99,14.9,-24.5,70.16,14.47
240,Leopold,90,US,2019-03-22 00:28:35,81,38.1,-86.58,45.0,5.82
241,Amga,0,RU,2019-03-22 00:29:24,62,60.89,131.98,-8.41,2.62
242,Nyaunglebin,0,MM,2019-03-22 00:29:25,81,17.95,96.73,66.74,2.06
243,Morant Bay,75,JM,2019-03-22 00:00:00,65,17.88,-76.41,80.6,2.24
244,Sabha,0,LY,2019-03-22 00:29:25,50,27.03,14.43,60.44,11.12
245,Khandyga,0,RU,2019-03-22 00:29:25,59,62.65,135.58,-7.15,3.51
246,Batemans Bay,56,AU,2019-03-22 00:27:26,73,-35.71,150.18,79.0,1.99
247,Grindavik,90,IS,2019-03-22 00:16:37,100,63.84,-22.43,35.01,12.75
248,Iqaluit,40,CA,2019-03-22 00:22:45,63,63.75,-68.52,-9.01,3.36
249,Vani,24,GE,2019-03-21 23:30:00,100,42.09,42.51,44.6,1.12
250,Mazatlan,5,MX,2019-03-22 00:17:07,25,23.22,-106.42,84.2,11.41
251,Acapulco,20,MX,2019-03-21 23:42:00,74,16.86,-99.88,82.4,11.41
252,Kahului,20,US,2019-03-22 00:23:57,39,20.89,-156.47,84.2,16.11
253,Srisailam,8,IN,2019-03-22 00:29:27,81,16.07,78.87,65.48,2.62
254,Byron Bay,90,AU,2019-03-22 00:25:13,69,-28.65,153.62,84.99,5.08
255,Petropavlovsk-Kamchatskiy,40,RU,2019-03-21 23:30:00,44,53.05,158.65,17.6,2.24
256,Hajnowka,48,PL,2019-03-22 00:29:06,83,52.74,23.58,51.01,4.0
257,Thinadhoo,76,MV,2019-03-22 00:29:28,100,0.53,72.93,84.83,7.99
258,Dikson,12,RU,2019-03-22 00:29:28,93,73.51,80.55,3.02,13.91
259,Gura Foii,0,RO,2019-03-22 00:25:33,93,44.75,25.29,46.0,8.05
260,Segezha,80,RU,2019-03-22 00:29:29,91,63.74,34.31,31.01,6.2
261,Phuthaditjhaba,88,ZA,2019-03-22 00:29:29,94,-28.53,28.82,49.55,1.95
262,San Quintin,0,PH,2019-03-22 00:29:29,65,17.54,120.52,76.91,4.18
